Team,Points Scored,Points Allowed,Year,Division,Conference,Wins
Orlando Magic,8567,8119,2008,SouthEast,Eastern,52
Philadelphia 76ers,7923,7889,2008,Atlantic,Eastern,40
Phoenix Suns,9026,8612,2008,Pacific,Western,55
Portland Trail Blazers,7820,7900,2008,NorthWest,Western,41
Sacramento Kings,8408,8593,2008,Pacific,Western,38
San Antonio Spurs,7820,7427,2008,SouthWest,Western,56
Seattle SuperSonics,7999,8717,2008,NorthWest,Western,20
Toronto Raptors,8215,7977,2008,Atlantic,Eastern,41
Utah Jazz,8710,8146,2008,NorthWest,Western,54
Washington Wizards,8104,8131,2008,SouthEast,Eastern,43
